0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1930	NA	28.4	NA	NA	NA	72.5	NA	NA	42.6	129.1	47.5	NA	NA	95.8	NA	NA	17.0	NA	NA	55.5	NA	64.9	NA	NA	80.1	18.6	NA	NA	NA	NA	97.9	32.8	20.2	NA	NA	NA
1931	NA	31.4	34.1	NA	NA	78.9	NA	NA	42.6	96.0	64.1	NA	NA	80.8	NA	NA	43.5	NA	NA	49.4	NA	NA	NA	NA	NA	87.4	NA	NA	NA	37.8	92.2	NA	35.6	NA	71.7	NA
1932	NA	25.8	43.7	NA	NA	66.8	NA	NA	64.5	88.1	36.1	NA	NA	51.3	NA	NA	20.5	NA	NA	40.8	NA	NA	NA	NA	58.5	38.4	NA	NA	NA	39.9	79.7	36.3	18.8	NA	114.2	NA
1933	NA	87.3	68.7	NA	NA	59.2	NA	NA	54.8	108.8	67.8	NA	NA	60.0	NA	NA	79.1	NA	NA	93.8	NA	53.5	NA	NA	65.4	46.4	131.0	NA	NA	56.4	33.5	106.7	32.6	NA	73.2	90.8
1934	NA	61.2	42.8	NA	47.6	67.7	NA	NA	18.3	36.1	28.0	NA	NA	82.6	NA	NA	43.6	NA	NA	36.6	NA	30.7	NA	NA	NA	53.3	NA	NA	NA	20.4	49.7	66.3	30.2	NA	48.6	42.6
1935	NA	30.7	52.4	NA	53.9	83.0	106.6	NA	64.5	151.2	101.7	NA	NA	68.7	NA	NA	38.3	NA	NA	49.3	NA	33.3	NA	NA	NA	118.9	89.2	NA	NA	81.9	47.2	72.2	27.6	NA	115.4	61.5
1936	NA	75.4	55.9	NA	44.5	93.7	50.1	53.0	13.7	72.1	16.6	NA	NA	75.9	NA	NA	37.0	NA	NA	34.4	NA	44.6	NA	NA	NA	88.2	23.6	NA	NA	18.8	34.2	98.4	40.6	NA	65.7	33.8
1937	NA	52.0	25.7	NA	37.9	108.5	88.0	46.6	32.8	160.3	43.9	NA	NA	65.5	NA	NA	32.7	NA	NA	34.3	NA	53.1	158.8	35.2	NA	69.0	58.6	NA	NA	37.8	41.2	72.7	25.7	98.7	57.1	42.4
1938	NA	67.9	44.7	NA	27.3	79.7	57.8	61.1	26.6	107.1	47.9	NA	NA	53.0	88.0	NA	43.5	NA	NA	41.1	63.5	62.5	89.1	68.6	NA	40.7	70.4	NA	NA	57.4	72.2	88.5	26.4	NA	82.5	73.5
1939	NA	32.3	11.4	NA	30.0	62.7	40.5	28.8	32.4	116.8	50.5	NA	NA	85.1	NA	NA	16.8	NA	NA	46.4	28.8	50.1	157.3	23.9	NA	24.9	66.1	NA	49.8	34.3	49.7	43.5	22.3	NA	90.0	34.7
1940	NA	58.5	71.9	NA	33.5	112.2	49.2	103.2	22.7	85.5	36.5	NA	NA	85.7	47.6	NA	59.6	NA	NA	43.7	107.3	71.8	124.9	136.1	NA	112.2	47.5	NA	27.2	26.2	97.7	115.7	29.6	NA	92.5	45.1
1941	NA	42.3	79.6	NA	37.1	134.4	67.3	113.9	18.9	188.1	27.7	NA	NA	85.9	NA	NA	58.9	NA	NA	NA	74.4	NA	144.6	117.4	NA	144.4	NA	NA	NA	NA	67.7	70.3	34.8	NA	49.0	37.7
1942	NA	33.7	28.3	NA	67.9	57.4	52.8	27.1	37.3	91.7	34.3	NA	NA	62.4	NA	NA	19.6	NA	NA	NA	28.4	NA	97.5	34.7	NA	47.5	NA	NA	NA	NA	53.4	35.4	38.1	NA	44.7	25.2
1943	57.0	42.2	53.3	NA	26.7	97.7	124.4	75.2	47.1	98.0	38.5	NA	NA	97.3	NA	NA	39.0	NA	NA	NA	31.3	115.8	125.3	NA	NA	77.2	111.3	NA	NA	NA	NA	NA	NA	NA	111.9	47.5
1944	NA	73.1	NA	NA	43.5	NA	NA	NA	NA	99.8	NA	NA	37.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	53.3	NA	NA	NA	35.1	NA	NA	NA	NA	68.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.9	NA
1946	102.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134.5	NA	NA	NA	NA	NA	NA	NA	NA	198.7	133.8	NA	NA	NA	NA	NA	NA	154.3	99.6	42.3	NA	NA	NA
1947	55.0	29.6	NA	NA	21.7	NA	NA	NA	NA	110.3	NA	NA	NA	96.8	NA	NA	NA	NA	NA	NA	NA	39.9	NA	48.4	NA	NA	NA	NA	NA	53.6	88.0	38.5	26.4	NA	NA	NA
1948	33.5	30.2	NA	30.9	64.5	NA	31.8	59.9	41.8	108.3	32.0	NA	42.9	69.7	NA	90.2	37.0	NA	47.9	NA	53.5	NA	117.6	67.2	NA	55.6	61.2	NA	53.8	25.1	38.7	73.7	33.5	158.3	51.7	57.5
1949	58.6	52.5	NA	44.9	33.4	NA	61.3	113.2	33.3	132.5	47.0	NA	81.1	56.1	49.0	45.3	69.9	NA	44.3	NA	103.3	NA	111.0	NA	NA	83.2	122.9	NA	NA	60.2	NA	98.2	32.2	104.6	63.5	117.6
1950	52.6	36.5	NA	39.4	41.7	NA	89.7	55.6	25.8	140.9	36.3	NA	59.7	111.6	NA	73.7	41.3	NA	NA	NA	41.5	NA	164.5	NA	NA	101.8	73.8	NA	NA	37.9	87.2	59.3	32.4	NA	57.5	79.6
1951	35.4	37.5	NA	31.8	25.5	NA	72.9	60.7	38.4	50.2	35.3	22.3	39.4	131.8	NA	91.2	32.7	NA	29.6	NA	39.4	NA	215.9	35.7	NA	43.1	48.5	NA	NA	NA	39.6	38.6	21.0	214.2	85.2	37.2
1952	64.6	61.4	NA	52.3	44.2	NA	75.3	86.9	15.5	108.1	31.2	38.7	41.1	25.0	NA	33.7	58.8	NA	72.5	NA	92.7	NA	70.6	137.7	NA	97.6	32.9	NA	NA	NA	51.3	105.3	31.6	150.5	52.3	26.7
1953	37.6	24.9	23.7	30.6	62.1	NA	39.1	31.3	51.8	62.1	35.4	15.7	29.5	87.6	NA	92.8	18.0	51.8	46.0	NA	25.2	NA	126.1	42.9	NA	49.4	42.2	58.0	56.6	NA	44.4	40.7	27.9	322.9	123.5	37.4
1954	24.9	50.9	NA	27.7	35.7	NA	63.1	50.5	55.8	109.1	55.1	36.3	34.3	59.8	NA	101.5	29.4	NA	103.1	NA	NA	NA	176.4	58.4	NA	45.1	43.0	147.8	57.7	NA	NA	83.1	18.0	137.8	87.9	67.7
1955	38.6	58.5	NA	58.3	51.5	NA	33.8	68.7	34.4	53.4	33.2	62.0	30.3	59.4	NA	48.1	46.6	NA	109.2	NA	NA	NA	134.2	56.8	NA	30.7	41.0	59.0	52.3	NA	NA	NA	57.8	116.0	48.9	36.4
1956	37.2	39.7	NA	23.8	25.1	NA	70.3	NA	28.7	77.1	31.7	21.6	43.5	85.8	28.1	95.7	28.2	26.9	39.7	NA	NA	37.1	112.4	38.6	NA	21.1	40.9	93.5	34.3	NA	NA	NA	23.1	84.7	88.2	40.3
1957	68.5	33.2	NA	21.8	47.8	NA	50.0	NA	18.0	73.4	21.6	31.2	25.7	48.4	NA	45.0	45.2	23.1	60.3	NA	45.2	30.3	92.8	65.7	NA	70.7	37.4	50.4	22.8	18.5	NA	NA	15.5	70.1	35.7	23.3
1958	41.9	57.5	NA	78.6	65.8	NA	58.0	NA	63.8	121.3	49.4	51.3	45.5	110.9	NA	86.6	36.2	66.0	56.1	NA	69.6	76.1	191.8	81.9	NA	NA	64.4	47.6	96.0	42.9	NA	NA	56.3	119.4	75.5	21.7
1959	66.2	33.3	62.6	33.0	33.9	104.4	56.0	NA	37.4	131.9	37.6	42.1	24.8	73.6	71.2	78.0	63.7	53.4	34.6	NA	71.0	42.2	127.6	93.0	28.9	NA	33.1	182.5	51.6	28.2	NA	NA	24.0	102.2	72.9	94.9
1960	94.4	34.9	NA	53.0	30.5	NA	NA	NA	20.3	91.3	32.2	20.9	46.5	42.2	35.7	47.6	40.0	47.2	57.5	NA	NA	48.8	66.5	75.2	NA	NA	52.0	77.6	29.7	44.1	NA	NA	42.7	109.0	50.8	46.4
1961	54.0	45.2	NA	26.5	33.2	NA	NA	NA	15.5	75.2	31.2	30.6	41.2	42.0	40.0	45.9	46.5	38.2	33.0	NA	NA	26.8	95.9	61.2	NA	NA	46.6	71.6	20.8	29.6	NA	NA	32.3	56.8	40.6	43.6
1962	73.5	64.7	NA	53.8	62.7	NA	NA	NA	37.3	105.5	47.8	68.4	70.0	47.0	96.0	63.5	98.0	108.7	96.5	NA	NA	97.1	101.1	130.6	118.0	NA	72.8	75.4	54.3	55.0	NA	NA	33.9	190.1	80.4	43.6
1963	54.4	40.3	NA	45.3	67.0	NA	NA	NA	45.9	180.9	78.6	31.8	86.5	116.6	66.9	118.3	32.0	82.3	60.2	NA	NA	82.6	251.0	43.8	132.6	NA	106.0	130.2	62.6	91.5	NA	NA	38.5	158.2	131.6	58.5
1964	62.5	36.9	NA	21.1	34.4	NA	NA	NA	41.0	181.3	25.0	32.4	76.5	47.5	20.4	62.0	63.2	57.1	72.3	NA	NA	34.9	96.7	75.6	57.7	NA	56.1	79.8	54.3	35.5	NA	NA	NA	79.6	44.8	60.0
1965	67.8	29.7	NA	25.4	35.8	NA	NA	NA	48.0	113.0	24.1	28.0	40.9	59.4	20.2	79.2	52.5	43.9	56.2	NA	NA	41.3	140.2	55.1	77.7	NA	77.6	75.3	47.0	42.9	NA	NA	NA	62.1	68.7	32.6
1966	62.5	34.9	62.3	18.0	56.6	55.2	84.3	NA	48.7	132.4	35.6	34.8	55.3	43.1	52.6	91.1	45.7	32.8	86.7	NA	NA	66.5	83.3	87.9	NA	NA	42.7	75.7	70.2	58.3	NA	NA	NA	134.6	54.5	35.4
1967	50.4	35.6	NA	36.9	15.3	NA	NA	NA	24.4	112.0	21.4	31.0	21.9	42.1	30.5	58.4	42.9	42.3	45.9	NA	NA	68.2	83.7	77.8	NA	NA	37.2	68.2	38.0	17.4	NA	NA	NA	134.0	35.5	36.1
1968	53.3	23.5	NA	29.7	53.9	73.6	NA	NA	31.3	62.6	44.7	26.1	30.4	79.3	34.9	58.9	27.0	51.0	58.4	NA	NA	50.3	128.7	67.5	NA	NA	52.3	82.8	42.0	59.1	NA	NA	NA	98.8	64.7	61.0
1969	76.0	86.4	NA	66.5	80.6	NA	NA	NA	49.1	210.1	50.4	44.5	48.9	53.4	112.3	50.8	51.4	72.2	64.1	NA	NA	123.2	109.5	60.4	NA	NA	73.2	53.0	61.8	43.6	NA	NA	NA	276.1	74.0	23.6
1970	69.4	42.6	NA	24.4	179.2	NA	NA	NA	36.7	88.8	45.4	39.8	41.5	84.9	57.2	69.6	37.6	76.8	67.9	NA	NA	98.1	195.8	57.1	73.0	NA	84.1	120.4	51.3	43.5	NA	NA	25.6	149.0	93.1	68.5
1971	70.3	61.3	NA	33.7	49.4	NA	NA	NA	20.4	69.1	41.1	22.0	36.6	24.9	39.0	34.7	55.5	38.8	52.1	44.3	NA	37.2	60.9	105.0	85.1	NA	48.0	119.1	25.1	66.4	NA	NA	34.1	84.6	41.9	66.1
1972	34.1	18.8	NA	20.2	24.2	NA	NA	NA	35.0	99.9	44.0	21.2	36.8	39.1	37.1	52.4	48.2	39.2	46.6	20.1	NA	52.3	85.8	80.5	41.5	NA	39.3	60.7	46.9	21.7	NA	NA	18.5	126.9	54.6	33.5
1973	55.9	40.1	NA	35.9	28.1	NA	NA	NA	21.8	120.1	37.3	43.0	51.3	27.4	33.2	45.6	48.8	29.4	71.7	59.2	NA	42.1	98.5	77.0	49.9	NA	59.9	80.2	26.1	33.3	NA	NA	34.2	68.4	54.2	56.1
1974	106.8	63.0	NA	46.3	25.3	NA	NA	NA	36.5	108.1	40.5	24.7	68.7	100.3	48.6	101.9	38.1	48.0	27.0	28.9	NA	54.5	260.6	100.1	27.8	NA	93.6	73.4	47.4	48.5	NA	NA	47.2	72.7	97.5	47.1
1975	100.6	20.7	NA	28.7	40.3	NA	NA	NA	39.6	196.0	34.7	31.1	NA	47.5	74.6	85.1	46.3	30.8	NA	47.2	NA	46.6	114.3	77.1	34.8	NA	79.3	78.2	47.5	83.8	NA	NA	26.5	97.5	108.9	35.2
1976	99.9	81.3	NA	35.9	39.5	NA	NA	NA	20.8	191.7	19.8	62.8	NA	50.1	70.8	41.0	68.4	59.8	NA	19.0	NA	102.0	117.0	116.9	64.4	NA	107.0	51.1	25.4	46.2	NA	NA	NA	173.0	32.1	38.7
1977	49.9	21.6	NA	32.3	38.1	NA	NA	NA	61.2	92.3	47.0	NA	NA	72.0	53.2	79.6	40.3	47.3	NA	65.4	NA	45.5	182.1	52.5	62.6	NA	64.0	97.6	75.0	58.8	NA	NA	NA	111.3	105.3	63.3
1978	44.5	35.2	NA	43.3	31.7	NA	NA	NA	37.5	60.8	53.8	NA	NA	41.7	55.3	37.6	9.4	58.2	NA	23.5	NA	93.4	83.1	38.0	50.4	NA	63.6	37.9	45.2	47.6	NA	NA	NA	157.2	131.5	10.2
1979	27.4	46.1	NA	101.6	68.5	NA	NA	NA	32.1	78.2	46.3	NA	NA	52.4	45.7	47.4	46.2	67.8	NA	42.1	NA	60.6	134.5	54.4	60.0	NA	44.1	NA	NA	59.9	NA	NA	NA	124.9	82.2	52.1
1980	42.4	27.0	NA	32.9	81.6	NA	NA	NA	44.7	64.3	24.7	NA	NA	51.4	36.8	82.7	24.7	46.4	NA	22.5	NA	68.7	112.8	74.3	63.1	NA	41.2	NA	NA	26.4	NA	NA	NA	87.6	65.0	34.8
1981	118.6	89.3	NA	44.6	48.0	NA	NA	NA	67.6	255.6	59.1	70.3	66.3	105.7	83.5	112.3	70.8	77.9	75.8	NA	NA	99.0	322.3	125.4	65.8	NA	80.4	217.4	92.1	96.1	NA	NA	NA	255.2	130.7	139.3
1982	75.8	72.3	NA	69.6	55.7	NA	NA	NA	23.9	182.6	46.8	35.9	40.1	51.4	46.7	90.7	48.0	76.1	53.3	NA	NA	44.5	112.5	66.1	56.6	NA	76.2	108.7	29.4	55.6	NA	NA	NA	96.0	55.1	62.2
1983	87.9	52.9	104.1	34.1	49.5	70.4	89.8	NA	33.2	127.2	42.7	36.1	68.8	68.4	30.9	79.4	84.7	27.3	52.0	NA	NA	39.0	151.0	89.1	NA	NA	41.8	80.2	36.8	27.9	NA	NA	NA	68.9	71.6	51.6
1984	32.3	16.5	NA	31.4	62.5	NA	NA	NA	24.8	58.5	39.8	22.1	51.8	32.1	21.2	44.1	23.7	29.0	35.6	NA	NA	68.7	53.9	52.2	NA	NA	70.8	192.1	29.1	33.7	NA	NA	NA	85.8	59.3	133.0
1985	39.2	30.0	NA	19.6	51.1	24.7	NA	NA	46.5	129.6	51.9	32.2	50.5	86.1	15.4	85.4	43.8	32.3	57.9	NA	NA	28.0	110.0	43.0	NA	NA	50.4	72.6	70.8	59.2	NA	NA	NA	53.2	103.2	28.8
1986	70.2	58.8	NA	47.8	85.7	NA	NA	NA	30.9	70.3	21.2	41.0	22.9	74.9	70.0	108.5	51.2	58.1	82.8	NA	NA	67.9	118.5	95.0	NA	NA	18.2	47.5	41.5	22.6	NA	NA	NA	124.5	55.0	28.4
1987	89.8	64.1	NA	64.4	20.9	NA	NA	NA	49.4	161.1	21.2	55.0	34.6	70.4	48.6	98.2	57.3	72.6	42.6	NA	NA	49.7	136.1	115.0	40.1	NA	29.4	70.6	57.9	23.9	NA	NA	51.8	97.1	115.3	44.2
1988	53.4	26.8	NA	28.0	27.1	NA	NA	NA	29.5	110.3	46.6	26.4	41.8	83.9	42.9	62.5	31.7	70.7	96.8	61.9	NA	50.1	145.6	68.1	44.7	NA	74.8	57.5	36.7	48.5	NA	NA	35.5	117.5	71.1	39.2
1989	43.6	22.0	NA	19.6	23.8	NA	NA	NA	33.3	93.1	30.2	13.7	42.6	55.0	32.0	60.2	17.9	36.6	52.4	38.0	NA	51.1	129.3	39.6	45.8	NA	64.5	93.7	36.5	56.6	NA	NA	11.7	83.4	111.9	43.8
1990	67.9	37.7	NA	27.8	61.2	NA	NA	NA	51.1	162.8	39.6	37.3	47.4	83.9	40.3	108.0	52.0	29.7	79.4	41.7	NA	48.9	198.0	84.2	55.0	NA	57.6	96.6	67.7	45.2	NA	NA	31.4	128.7	90.8	44.3
1991	83.9	47.9	NA	51.0	38.5	NA	NA	NA	37.2	108.0	67.0	28.7	49.2	62.5	41.1	68.0	42.7	53.2	67.2	NA	NA	80.4	158.5	50.4	48.6	NA	56.7	132.9	41.9	50.6	NA	NA	NA	118.6	97.1	71.5
1992	83.7	48.6	NA	43.9	37.5	NA	NA	NA	48.3	139.8	31.0	27.5	57.8	67.1	51.3	92.1	45.3	40.0	40.9	NA	NA	29.4	80.8	82.2	50.3	NA	69.6	68.1	69.0	72.2	NA	NA	NA	74.3	53.6	41.7
1993	85.5	31.5	41.8	21.9	58.8	77.2	62.4	NA	49.3	152.2	69.6	17.4	49.6	41.2	39.0	53.9	16.2	81.6	83.4	NA	NA	101.0	127.8	65.4	NA	NA	64.4	123.9	62.4	49.9	NA	NA	NA	190.6	102.4	69.5
1994	100.7	52.2	NA	34.2	31.1	NA	NA	NA	77.2	139.5	78.2	37.5	65.7	95.5	42.3	105.0	53.1	43.0	65.4	NA	NA	81.6	197.7	83.4	NA	NA	125.3	179.6	102.0	95.5	NA	NA	NA	115.9	154.1	88.8
1995	82.8	64.8	NA	36.8	28.2	98.8	NA	NA	29.2	139.8	41.7	52.0	42.5	47.9	67.6	64.5	53.6	85.0	91.4	NA	NA	70.4	99.3	117.4	NA	NA	49.9	103.4	38.6	57.6	NA	NA	NA	133.5	46.0	52.6
1996	52.2	46.2	NA	37.3	60.9	NA	NA	NA	38.5	88.1	34.7	25.3	53.0	89.7	45.1	93.4	28.8	64.0	45.8	NA	NA	81.2	170.0	54.0	NA	NA	88.7	73.4	52.3	39.4	NA	NA	NA	174.1	98.8	28.0
1997	38.0	32.6	NA	45.5	51.0	NA	NA	NA	32.4	127.8	36.3	13.6	39.9	67.5	28.1	64.3	33.7	47.4	30.3	NA	NA	50.1	203.2	43.4	50.8	NA	57.8	98.8	51.4	29.1	NA	NA	33.8	86.8	76.5	58.9
1998	93.8	116.3	NA	131.4	97.7	NA	NA	NA	43.3	281.5	43.0	72.1	36.7	89.7	130.5	107.8	92.2	42.2	92.2	37.2	NA	106.2	85.0	108.4	271.1	NA	52.4	59.5	68.1	74.6	NA	NA	132.3	257.1	57.2	32.3
1999	69.7	51.4	NA	53.4	72.1	NA	NA	NA	60.4	72.6	43.7	26.9	64.4	201.8	59.8	186.9	31.4	44.4	89.7	69.7	NA	68.5	265.8	40.2	107.2	NA	87.3	121.1	78.5	110.5	NA	NA	40.3	129.3	118.5	66.5
2000	28.5	27.7	NA	25.5	76.4	NA	NA	NA	32.9	92.7	52.0	20.8	38.1	66.9	62.2	72.8	31.8	75.8	69.6	54.0	NA	37.5	130.8	58.8	69.4	NA	54.3	116.9	56.7	54.7	NA	NA	21.9	84.6	120.8	66.5
2001	43.3	43.3	NA	48.0	45.0	NA	NA	NA	32.0	96.2	37.0	20.0	27.7	84.3	30.9	48.4	19.3	30.4	70.5	NA	NA	30.3	122.0	40.7	52.3	NA	39.9	94.4	41.0	63.5	NA	NA	32.1	59.1	60.2	50.5
2002	25.1	14.8	NA	16.4	31.7	NA	NA	NA	22.7	35.1	25.2	21.6	14.5	14.3	43.8	27.4	35.7	48.0	53.4	32.2	NA	66.8	30.3	50.2	46.9	NA	23.3	100.0	28.8	29.5	NA	NA	17.1	96.5	38.2	55.9
2003	38.0	26.5	NA	21.7	43.1	NA	NA	NA	40.0	54.2	39.2	32.1	50.4	69.6	50.4	74.5	36.0	38.3	124.9	25.1	NA	67.9	167.0	28.5	71.5	NA	41.6	26.1	53.1	31.4	NA	NA	26.1	112.6	56.2	14.4
2004	66.5	35.8	NA	106.9	55.8	NA	NA	NA	43.1	157.9	71.2	22.5	67.5	92.4	113.1	72.6	39.6	105.3	110.7	37.0	NA	65.8	185.6	89.6	92.5	NA	102.4	123.5	56.8	40.7	NA	NA	92.5	141.0	90.3	65.7
2005	97.8	74.6	NA	82.8	25.9	NA	NA	NA	15.9	149.4	33.3	46.1	47.2	55.3	56.5	58.5	70.2	59.2	54.1	39.7	NA	46.9	170.7	99.9	71.5	NA	58.5	81.2	17.2	31.9	NA	NA	48.8	108.8	59.6	41.6
2006	25.4	47.1	NA	35.8	65.5	NA	NA	NA	26.4	81.4	36.8	53.0	NA	30.8	44.2	21.2	48.8	66.5	NA	51.7	NA	45.8	89.1	45.0	89.9	NA	51.6	100.1	32.4	37.6	NA	NA	22.3	102.0	32.9	47.8
2007	45.2	50.7	NA	39.1	22.9	NA	NA	NA	31.4	79.8	30.8	31.2	NA	47.4	51.3	51.5	43.6	39.3	NA	34.3	NA	41.4	89.2	61.8	39.6	NA	65.2	125.3	43.0	45.5	NA	NA	NA	83.8	54.5	52.6
2008	44.3	39.8	NA	38.8	75.5	NA	NA	NA	43.8	122.4	58.7	NA	NA	71.8	71.7	93.9	61.4	57.0	NA	38.9	NA	69.3	152.2	78.0	60.5	NA	58.3	102.4	68.4	60.7	NA	NA	NA	180.4	63.7	45.0
2009	111.0	28.2	NA	32.0	26.5	NA	NA	NA	42.3	192.4	48.5	NA	NA	79.9	42.6	89.9	55.8	49.0	NA	56.6	NA	65.7	197.6	116.9	56.6	NA	72.8	165.8	57.1	21.2	NA	NA	NA	135.5	68.6	79.6
2010	65.8	49.6	NA	59.4	39.5	NA	NA	NA	36.3	153.1	59.0	NA	NA	59.9	46.6	88.1	20.7	110.1	NA	57.6	NA	96.2	134.9	48.1	79.4	NA	110.2	NA	NA	51.7	NA	NA	NA	132.6	72.5	57.3
2011	98.1	38.5	NA	23.2	53.8	NA	NA	NA	25.9	225.5	32.9	NA	NA	76.3	96.9	73.0	39.1	78.7	NA	42.4	NA	105.8	113.0	120.4	68.4	NA	60.7	NA	NA	51.2	NA	NA	NA	199.1	53.7	80.9
