0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1930	NaN	46.0	NaN	NaN	NaN	114.7	NaN	NaN	50.7	208.3	56.3	NaN	NaN	100.6	NaN	NaN	35.2	NaN	NaN	56.4	NaN	83.7	NaN	NaN	65.9	70.2	NaN	NaN	NaN	NaN	75.5	90.9	23.9	NaN	NaN	NaN
1931	NaN	35.3	30.6	NaN	NaN	37.6	NaN	NaN	18.2	107.3	26.8	NaN	NaN	44.8	NaN	NaN	41.7	NaN	NaN	19.2	NaN	NaN	NaN	NaN	NaN	52.4	NaN	NaN	NaN	74.8	84.6	NaN	27.4	NaN	47.0	NaN
1932	NaN	23.1	33.4	NaN	NaN	47.7	NaN	NaN	36.3	244.7	44.0	NaN	NaN	110.8	NaN	NaN	43.4	NaN	NaN	34.6	NaN	NaN	NaN	NaN	72.0	40.9	NaN	NaN	NaN	45.7	98.4	76.1	36.5	NaN	68.6	NaN
1933	NaN	50.4	43.4	NaN	NaN	106.8	NaN	NaN	29.3	115.7	33.6	NaN	NaN	76.4	NaN	NaN	42.0	NaN	NaN	29.1	NaN	85.1	NaN	NaN	84.3	87.4	43.1	NaN	NaN	59.8	92.5	46.9	29.3	NaN	67.6	34.5
1934	NaN	31.3	33.2	NaN	45.9	68.1	NaN	NaN	32.5	131.3	31.5	NaN	NaN	64.3	NaN	NaN	42.3	NaN	NaN	43.0	NaN	61.1	NaN	NaN	NaN	51.4	NaN	NaN	NaN	35.3	74.5	56.9	40.2	NaN	68.5	35.1
1935	NaN	17.1	18.1	NaN	31.2	27.2	42.3	NaN	16.6	58.1	11.1	NaN	NaN	39.5	NaN	NaN	17.3	NaN	NaN	13.6	NaN	30.7	NaN	NaN	NaN	35.3	34.6	NaN	NaN	32.6	47.6	24.3	16.3	NaN	22.0	16.5
1936	NaN	91.1	61.8	NaN	38.4	155.5	51.4	105.2	44.8	90.5	34.5	NaN	NaN	43.3	NaN	NaN	60.3	NaN	NaN	42.9	NaN	52.5	NaN	NaN	NaN	142.3	102.0	NaN	NaN	35.3	65.5	52.9	34.3	NaN	70.3	39.6
1937	NaN	44.1	45.1	NaN	54.1	82.7	66.3	77.3	33.4	105.5	37.7	NaN	NaN	59.1	NaN	NaN	41.7	NaN	NaN	41.7	NaN	47.8	148.0	82.5	NaN	64.1	67.6	NaN	NaN	42.2	72.7	69.9	28.1	138.7	69.5	51.0
1938	NaN	43.6	47.8	NaN	61.0	77.4	103.2	81.6	38.2	142.9	27.5	NaN	NaN	50.0	46.3	NaN	29.0	NaN	NaN	36.4	64.3	80.5	171.4	63.6	NaN	66.3	72.6	NaN	NaN	79.4	134.1	83.4	26.9	NaN	53.6	60.4
1939	NaN	23.1	20.5	NaN	24.8	46.7	27.7	53.3	22.3	62.2	23.6	NaN	NaN	32.9	NaN	NaN	33.1	NaN	NaN	22.1	37.4	29.8	85.9	44.5	NaN	36.9	41.2	NaN	22.3	19.2	30.3	46.3	16.2	NaN	32.8	30.2
1940	NaN	84.2	60.6	NaN	56.9	124.1	65.8	88.5	44.7	175.2	48.5	NaN	NaN	73.0	66.4	NaN	69.6	NaN	NaN	45.8	59.0	83.1	158.7	112.8	NaN	130.2	102.4	NaN	67.1	57.0	87.3	88.9	41.7	NaN	67.9	55.4
1941	NaN	17.6	29.7	NaN	32.6	40.7	40.5	45.9	19.0	102.4	24.3	NaN	NaN	48.5	NaN	NaN	18.5	NaN	NaN	NaN	37.1	NaN	72.7	26.5	NaN	26.8	NaN	NaN	NaN	NaN	45.2	41.8	17.5	NaN	29.6	27.3
1942	NaN	36.9	38.6	NaN	42.9	87.1	42.1	36.5	25.9	78.9	20.9	NaN	NaN	43.3	NaN	NaN	36.2	NaN	NaN	NaN	42.1	NaN	79.2	68.1	NaN	68.0	NaN	NaN	NaN	NaN	54.3	40.3	30.2	NaN	33.5	27.0
1943	87.9	55.0	50.5	NaN	47.7	89.4	61.0	88.7	35.5	137.5	46.9	NaN	NaN	66.9	NaN	NaN	40.1	NaN	NaN	NaN	58.0	71.2	130.7	NaN	NaN	100.8	77.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.6	49.7
1944	NaN	30.9	NaN	NaN	71.7	NaN	NaN	NaN	NaN	280.2	NaN	NaN	30.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1945	89.4	NaN	NaN	NaN	48.5	NaN	NaN	NaN	NaN	96.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.8	NaN
1946	80.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	148.7	67.9	NaN	NaN	NaN	NaN	NaN	NaN	45.7	69.9	32.8	NaN	NaN	NaN
1947	67.7	34.5	NaN	NaN	28.6	NaN	NaN	NaN	NaN	72.7	NaN	NaN	NaN	43.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.8	NaN	56.8	NaN	NaN	NaN	NaN	NaN	26.6	51.6	44.2	29.6	NaN	NaN	NaN
1948	50.8	5.6	NaN	9.0	21.0	NaN	19.9	30.8	14.5	79.0	16.3	NaN	5.4	26.9	NaN	44.8	8.0	NaN	24.5	NaN	20.8	NaN	50.9	13.2	NaN	13.6	9.9	NaN	32.6	24.5	25.3	36.9	11.1	59.1	31.3	22.1
1949	68.6	53.2	NaN	57.8	54.5	NaN	68.4	84.2	42.2	143.3	45.3	NaN	72.7	73.9	52.4	65.1	53.7	NaN	79.8	NaN	47.1	NaN	174.3	NaN	NaN	70.2	77.9	NaN	NaN	51.4	NaN	94.5	44.7	124.6	88.5	66.0
1950	52.0	56.4	NaN	42.4	63.8	NaN	80.7	95.2	45.5	209.6	64.7	NaN	59.0	100.6	NaN	63.9	52.7	NaN	NaN	NaN	90.8	NaN	180.8	NaN	NaN	96.9	63.8	NaN	NaN	33.7	60.5	139.4	42.5	NaN	97.4	98.5
1951	46.2	60.0	NaN	42.7	38.9	NaN	58.3	55.1	41.2	95.4	35.2	22.8	65.1	58.4	NaN	55.1	49.6	NaN	63.7	NaN	45.6	NaN	98.0	91.6	NaN	88.8	80.5	NaN	NaN	NaN	68.0	63.4	31.0	96.8	58.8	41.5
1952	94.3	44.1	NaN	53.3	48.7	NaN	66.2	53.0	48.2	93.7	33.4	23.3	47.0	84.2	NaN	73.5	52.7	NaN	73.1	NaN	53.8	NaN	76.4	85.5	NaN	83.4	61.9	NaN	NaN	NaN	89.9	54.7	40.1	126.6	83.5	38.4
1953	58.2	50.8	72.1	56.4	80.3	NaN	91.4	103.0	54.9	253.7	58.8	40.8	46.9	115.7	NaN	70.4	50.4	80.5	105.1	NaN	90.7	NaN	201.1	80.2	NaN	73.8	54.4	93.1	103.6	NaN	92.6	116.7	44.1	221.9	108.9	76.6
1954	79.2	55.3	NaN	39.3	51.5	NaN	67.5	58.2	35.2	113.2	38.6	27.6	52.6	58.3	NaN	90.7	49.4	NaN	82.3	NaN	NaN	NaN	127.4	83.1	NaN	87.3	60.6	132.5	35.4	NaN	NaN	56.0	41.0	150.8	57.8	44.4
1955	45.5	100.8	NaN	59.2	48.7	NaN	80.1	44.8	50.9	86.2	40.4	25.1	97.3	58.3	NaN	62.3	70.2	NaN	57.3	NaN	NaN	NaN	101.6	115.1	NaN	163.2	118.4	72.1	39.0	NaN	NaN	NaN	37.4	107.6	66.9	37.7
1956	153.9	65.0	NaN	56.7	87.5	NaN	95.7	NaN	54.7	208.5	38.6	40.1	72.4	95.5	60.9	147.6	57.4	69.4	100.5	NaN	NaN	113.6	238.1	119.8	NaN	82.8	74.7	171.5	79.8	NaN	NaN	NaN	39.6	140.6	109.1	63.3
1957	88.6	53.1	NaN	42.4	44.1	NaN	64.3	NaN	31.9	122.1	34.2	24.3	60.7	56.1	NaN	86.6	43.0	50.4	51.7	NaN	39.0	59.0	105.3	85.1	NaN	82.3	73.7	113.5	57.4	50.0	NaN	NaN	40.5	102.6	66.1	43.3
1958	56.5	73.6	NaN	83.6	61.8	NaN	96.7	NaN	48.3	126.9	55.9	30.2	81.6	50.5	NaN	84.9	71.7	73.1	84.4	NaN	74.7	79.7	140.3	177.4	NaN	NaN	100.1	103.9	39.5	62.4	NaN	NaN	47.7	149.2	112.7	62.0
1959	50.5	19.6	15.2	13.1	28.4	36.5	31.5	NaN	13.5	85.0	23.6	20.4	23.7	46.5	30.1	40.3	21.2	33.7	33.2	NaN	34.4	45.2	75.2	29.8	20.8	NaN	37.3	66.3	40.0	20.7	NaN	NaN	12.9	67.8	36.1	43.4
1960	60.5	20.4	NaN	24.0	67.3	NaN	NaN	NaN	24.9	168.9	49.8	40.8	16.0	77.3	63.7	58.3	22.2	52.7	60.5	NaN	NaN	80.5	191.1	47.4	NaN	NaN	22.7	97.2	61.0	36.9	NaN	NaN	22.3	114.9	51.5	77.2
1961	50.7	34.6	NaN	31.7	24.1	NaN	NaN	NaN	35.4	83.1	22.1	22.4	31.4	34.3	41.7	60.6	24.9	31.0	46.4	NaN	NaN	34.3	76.0	52.0	NaN	NaN	30.4	61.4	28.3	30.8	NaN	NaN	28.9	109.7	55.8	30.0
1962	52.2	88.6	NaN	47.7	33.5	NaN	NaN	NaN	46.7	71.1	27.2	27.6	85.9	38.6	43.4	48.8	69.7	44.7	49.0	NaN	NaN	56.9	83.4	124.2	70.1	NaN	102.1	80.5	35.3	31.3	NaN	NaN	36.4	93.6	54.8	29.4
1963	78.2	79.7	NaN	64.2	74.7	NaN	NaN	NaN	51.5	201.1	52.3	40.9	89.3	111.5	63.4	103.5	86.9	59.3	65.6	NaN	NaN	124.3	201.0	118.2	103.1	NaN	123.4	133.6	89.3	42.1	NaN	NaN	55.6	148.2	75.0	59.8
1964	98.8	72.3	NaN	78.9	63.0	NaN	NaN	NaN	90.6	247.1	69.8	54.9	83.9	90.9	78.8	101.1	70.5	79.4	105.9	NaN	NaN	98.5	199.5	148.3	104.0	NaN	113.5	133.7	96.6	81.9	NaN	NaN	NaN	210.5	117.8	72.3
1965	54.3	60.6	NaN	36.5	58.4	NaN	NaN	NaN	48.7	123.6	58.8	47.9	54.6	69.0	72.8	40.2	35.6	72.6	104.2	NaN	NaN	68.3	173.4	88.5	71.1	NaN	99.0	80.4	45.1	34.5	NaN	NaN	NaN	177.1	101.3	67.0
1966	84.1	52.4	80.0	76.7	97.7	104.7	131.4	NaN	48.2	193.2	47.5	45.1	84.6	96.2	56.8	112.5	66.1	71.2	67.2	NaN	NaN	84.3	166.3	95.2	NaN	NaN	115.5	116.8	53.9	72.4	NaN	NaN	NaN	108.0	76.4	59.0
1967	107.2	61.1	NaN	42.2	44.5	NaN	NaN	NaN	38.4	77.5	36.1	26.6	43.3	59.1	42.2	121.9	45.3	56.5	72.9	NaN	NaN	77.1	92.1	78.0	NaN	NaN	70.1	200.8	55.3	51.4	NaN	NaN	NaN	143.2	77.4	29.5
1968	28.5	19.6	NaN	17.6	26.6	47.7	NaN	NaN	18.6	146.0	30.9	26.4	21.9	50.4	45.7	24.0	19.7	47.9	66.9	NaN	NaN	42.0	119.9	36.6	NaN	NaN	42.0	38.4	36.0	15.0	NaN	NaN	NaN	105.8	44.5	25.7
1969	88.8	44.4	NaN	48.5	46.2	NaN	NaN	NaN	41.0	82.5	38.1	32.5	64.7	49.3	47.1	91.7	63.2	46.1	66.8	NaN	NaN	47.3	125.1	72.6	NaN	NaN	67.5	128.6	38.5	55.1	NaN	NaN	NaN	122.2	74.6	45.4
1970	102.5	50.5	NaN	54.1	55.4	NaN	NaN	NaN	40.2	115.9	28.2	30.3	52.0	68.6	44.3	174.6	59.8	47.0	55.6	NaN	NaN	79.0	123.6	73.1	88.5	NaN	73.4	165.2	43.1	65.9	NaN	NaN	48.7	93.3	63.6	38.7
1971	57.5	48.9	NaN	46.4	87.6	NaN	NaN	NaN	65.7	162.5	68.1	49.1	42.2	97.5	59.6	41.5	41.0	121.5	120.1	64.3	NaN	58.6	164.5	86.5	55.7	NaN	56.3	84.1	62.8	27.6	NaN	NaN	34.5	162.1	110.7	68.6
1972	46.6	41.0	NaN	42.2	38.9	NaN	NaN	NaN	28.8	116.7	38.0	35.1	38.9	63.9	47.8	49.3	42.0	47.7	43.4	25.7	NaN	67.7	109.5	61.5	72.9	NaN	58.1	66.4	39.5	49.0	NaN	NaN	31.1	126.3	46.5	52.6
1973	66.1	47.0	NaN	69.0	69.4	NaN	NaN	NaN	43.5	168.2	49.2	45.8	44.4	90.2	75.3	66.2	55.0	54.5	65.2	45.3	NaN	64.3	149.1	92.9	69.8	NaN	73.0	99.1	71.3	53.2	NaN	NaN	45.6	191.9	69.1	52.3
1974	65.2	35.0	NaN	26.6	30.8	NaN	NaN	NaN	31.8	87.8	31.6	21.6	31.0	46.8	34.8	62.3	22.4	37.6	45.4	31.8	NaN	58.9	79.1	56.5	40.0	NaN	47.8	78.2	34.3	35.2	NaN	NaN	23.5	106.4	60.0	36.2
1975	37.3	52.9	NaN	43.4	48.2	NaN	NaN	NaN	49.1	158.5	31.3	31.5	NaN	63.7	52.9	97.7	55.7	55.3	NaN	41.7	NaN	65.0	128.5	105.6	84.8	NaN	76.6	79.1	52.7	51.6	NaN	NaN	50.9	118.0	46.0	44.1
1976	49.6	32.1	NaN	34.8	35.8	NaN	NaN	NaN	31.7	76.4	22.4	14.0	NaN	48.5	24.8	41.1	30.3	34.5	NaN	28.1	NaN	47.3	86.5	64.3	40.8	NaN	58.6	53.4	46.9	34.0	NaN	NaN	NaN	66.5	54.2	29.5
1977	79.8	50.5	NaN	38.8	74.5	NaN	NaN	NaN	38.7	133.2	51.2	NaN	NaN	77.2	53.6	71.2	63.0	88.8	NaN	51.8	NaN	96.7	154.8	75.2	88.9	NaN	74.8	96.0	43.7	59.3	NaN	NaN	NaN	144.5	102.3	63.1
1978	51.1	43.0	NaN	27.6	26.3	NaN	NaN	NaN	21.5	98.8	22.4	NaN	NaN	27.6	42.7	42.5	36.0	27.4	NaN	26.0	NaN	34.7	75.5	69.2	47.8	NaN	65.5	72.1	36.7	32.6	NaN	NaN	NaN	102.4	47.3	37.3
1979	103.7	38.6	NaN	28.3	35.0	NaN	NaN	NaN	32.3	87.2	18.6	NaN	NaN	42.2	20.6	98.2	49.5	27.8	NaN	27.2	NaN	50.0	73.6	60.4	72.6	NaN	67.9	NaN	NaN	58.5	NaN	NaN	NaN	70.5	36.4	30.4
1980	55.5	30.4	NaN	35.4	38.1	NaN	NaN	NaN	40.3	91.3	38.3	NaN	NaN	47.0	49.1	73.9	41.6	52.9	NaN	42.1	NaN	47.0	120.0	59.5	54.4	NaN	40.0	NaN	NaN	35.7	NaN	NaN	NaN	128.4	71.3	38.9
1981	38.3	28.0	NaN	19.9	30.9	NaN	NaN	NaN	20.2	52.4	22.3	23.4	30.7	36.3	31.8	45.5	17.4	29.1	42.6	NaN	NaN	42.7	79.2	43.7	27.2	NaN	23.8	48.3	22.4	23.3	NaN	NaN	NaN	74.7	37.1	31.1
1982	108.7	28.9	NaN	47.6	52.0	NaN	NaN	NaN	23.1	139.1	24.6	23.8	34.3	77.4	36.0	115.1	47.4	34.3	40.0	NaN	NaN	79.2	110.3	50.4	92.6	NaN	45.6	148.0	69.0	64.3	NaN	NaN	NaN	72.4	46.8	41.4
1983	112.0	53.6	68.2	58.6	73.2	118.1	80.4	NaN	55.5	171.8	48.9	37.9	65.7	101.6	69.2	96.4	51.5	70.6	105.4	NaN	NaN	116.0	197.1	102.5	NaN	NaN	68.9	158.2	63.6	57.6	NaN	NaN	NaN	187.1	106.0	67.6
1984	75.3	55.5	NaN	40.9	73.9	NaN	NaN	NaN	32.1	253.4	42.0	37.0	39.5	123.6	53.2	113.6	48.9	67.2	72.8	NaN	NaN	104.3	248.3	79.4	NaN	NaN	67.0	109.2	82.6	63.4	NaN	NaN	NaN	170.3	62.3	61.7
1985	89.9	72.2	NaN	86.6	50.5	143.5	NaN	NaN	58.9	170.7	49.1	33.8	87.8	109.9	54.7	96.4	81.6	74.9	91.2	NaN	NaN	93.7	142.8	123.8	NaN	NaN	83.9	157.1	80.3	52.1	NaN	NaN	NaN	152.6	73.3	52.5
1986	47.6	40.8	NaN	35.7	65.5	NaN	NaN	NaN	32.9	182.9	46.9	41.9	50.2	96.0	64.1	63.7	38.1	54.4	67.0	NaN	NaN	100.5	183.9	80.0	NaN	NaN	47.7	89.2	74.6	41.2	NaN	NaN	NaN	142.1	69.2	67.0
1987	61.0	26.3	NaN	20.4	34.7	NaN	NaN	NaN	18.9	73.2	19.2	13.2	23.2	40.1	22.6	55.1	24.2	29.6	35.7	NaN	NaN	43.1	82.8	52.9	41.8	NaN	32.4	87.8	33.2	34.4	NaN	NaN	17.3	62.4	42.8	20.2
1988	72.1	47.1	NaN	49.6	53.3	NaN	NaN	NaN	63.9	90.6	35.2	26.9	56.9	61.2	40.8	95.9	67.8	78.0	106.8	69.2	NaN	70.1	126.1	82.1	105.7	NaN	63.9	89.3	38.7	60.9	NaN	NaN	51.8	113.2	101.4	48.9
1989	59.6	48.5	NaN	38.2	65.8	NaN	NaN	NaN	39.8	164.5	68.6	55.7	40.2	81.1	78.4	95.9	42.4	79.5	78.3	47.1	NaN	53.2	173.8	72.9	86.5	NaN	60.1	106.8	58.3	40.9	NaN	NaN	32.3	180.4	82.2	71.1
1990	40.2	23.3	NaN	22.4	31.3	NaN	NaN	NaN	24.9	91.2	28.8	32.5	28.2	34.2	48.0	50.5	30.0	35.8	35.5	28.0	NaN	44.2	106.9	44.8	36.2	NaN	34.0	61.5	31.2	30.8	NaN	NaN	20.1	114.0	43.0	39.4
1991	94.1	31.5	NaN	31.0	58.6	NaN	NaN	NaN	25.8	142.0	44.5	37.9	29.4	83.3	53.5	105.3	34.3	53.7	51.5	NaN	NaN	77.4	137.0	47.8	77.0	NaN	39.4	118.8	64.4	55.3	NaN	NaN	NaN	94.3	73.9	64.9
1992	89.3	36.9	NaN	41.1	68.7	NaN	NaN	NaN	53.7	184.8	74.7	46.3	32.6	77.6	74.4	98.2	36.3	110.0	145.2	NaN	NaN	109.6	170.3	71.1	96.2	NaN	49.6	132.7	64.5	53.2	NaN	NaN	NaN	233.5	111.0	64.6
1993	113.5	38.8	52.9	39.8	39.1	94.0	66.8	NaN	32.3	76.3	34.8	31.9	51.9	43.9	44.4	99.1	45.5	55.0	65.2	NaN	NaN	43.7	99.7	79.1	NaN	NaN	64.2	154.1	34.1	55.9	NaN	NaN	NaN	109.8	70.6	35.6
1994	77.1	50.2	NaN	59.2	106.8	NaN	NaN	NaN	46.1	255.6	57.1	37.8	58.9	101.1	68.0	107.7	61.0	76.0	97.8	NaN	NaN	80.3	281.6	82.5	NaN	NaN	98.8	137.9	51.3	49.0	NaN	NaN	NaN	149.1	89.3	65.2
1995	66.5	36.8	NaN	32.8	32.4	82.3	NaN	NaN	39.7	114.7	48.5	45.3	36.6	42.8	71.4	48.8	32.4	66.9	109.8	NaN	NaN	53.3	111.5	58.3	NaN	NaN	49.0	78.3	33.9	38.1	NaN	NaN	NaN	188.8	81.9	60.2
1996	57.0	46.3	NaN	31.8	57.9	NaN	NaN	NaN	33.1	175.7	42.0	38.2	44.0	72.7	62.7	66.9	30.0	57.4	70.9	NaN	NaN	54.5	143.7	69.2	NaN	NaN	43.2	80.1	54.1	35.2	NaN	NaN	NaN	151.5	47.5	64.4
1997	51.1	38.8	NaN	34.1	34.6	NaN	NaN	NaN	39.5	91.0	40.5	22.2	48.5	49.3	39.3	39.1	36.4	56.2	68.1	NaN	NaN	45.5	69.1	80.4	57.3	NaN	75.8	71.0	34.7	22.4	NaN	NaN	25.1	101.4	67.7	33.7
1998	157.4	64.4	NaN	45.7	88.7	NaN	NaN	NaN	45.1	232.0	61.3	50.4	58.4	138.0	72.2	141.1	48.8	59.9	76.2	44.4	NaN	173.6	269.9	67.3	92.0	NaN	73.2	205.7	106.4	107.8	NaN	NaN	40.6	163.2	62.4	111.3
1999	49.5	67.9	NaN	69.3	49.3	NaN	NaN	NaN	53.3	124.7	32.5	31.5	78.0	63.4	49.4	62.5	66.3	47.8	67.3	48.5	NaN	71.7	140.8	120.2	98.3	NaN	95.8	79.0	63.1	37.0	NaN	NaN	45.0	155.8	81.8	38.2
2000	72.0	49.6	NaN	73.1	54.8	NaN	NaN	NaN	39.1	126.0	41.6	27.8	69.9	52.9	41.3	108.2	66.3	66.6	82.6	40.6	NaN	56.0	149.2	80.5	111.6	NaN	86.9	125.2	41.3	53.7	NaN	NaN	69.2	131.2	76.4	58.7
2001	149.0	69.1	NaN	58.3	48.1	NaN	NaN	NaN	29.9	150.0	33.1	24.7	109.7	57.3	43.2	178.5	119.9	42.9	49.6	NaN	NaN	69.9	126.2	98.7	74.2	NaN	141.4	218.9	56.8	88.7	NaN	NaN	55.6	103.0	52.8	28.7
2002	48.9	41.3	NaN	37.0	24.2	NaN	NaN	NaN	25.6	68.5	26.9	22.3	54.0	31.9	34.9	60.3	40.3	40.7	47.0	30.9	NaN	23.8	79.5	64.3	59.4	NaN	67.0	85.0	24.6	35.7	NaN	NaN	28.4	91.4	45.7	36.2
2003	62.0	36.8	NaN	26.5	39.9	NaN	NaN	NaN	23.6	66.4	24.0	20.6	32.5	54.9	33.1	74.6	27.1	34.8	31.0	17.4	NaN	45.0	95.2	68.3	55.7	NaN	41.0	90.1	35.5	47.4	NaN	NaN	20.9	80.1	41.4	35.3
2004	56.3	57.0	NaN	40.9	56.5	NaN	NaN	NaN	47.3	118.2	43.1	44.3	39.8	70.2	62.4	55.3	40.9	61.1	71.6	50.1	NaN	58.9	143.6	88.2	60.2	NaN	53.7	69.0	39.6	29.7	NaN	NaN	33.4	155.9	89.5	48.5
2005	81.9	39.0	NaN	38.6	60.0	NaN	NaN	NaN	42.7	147.0	43.6	26.8	59.8	85.5	46.2	102.9	52.6	52.6	51.6	31.7	NaN	90.5	148.2	50.0	118.5	NaN	78.9	121.4	60.1	74.1	NaN	NaN	35.6	101.7	68.9	60.9
2006	65.2	80.1	NaN	70.0	56.9	NaN	NaN	NaN	56.8	83.9	37.2	37.5	NaN	59.7	57.5	111.8	73.9	58.5	NaN	59.3	NaN	54.3	109.3	105.0	116.9	NaN	113.0	105.0	34.6	42.0	NaN	NaN	62.2	155.7	89.2	42.3
2007	28.5	36.2	NaN	26.4	47.0	NaN	NaN	NaN	27.6	111.1	35.9	30.9	NaN	75.6	52.2	43.4	26.0	50.6	NaN	33.4	NaN	59.8	121.0	60.5	51.9	NaN	36.4	47.4	53.0	36.6	NaN	NaN	NaN	131.1	65.3	54.6
2008	75.4	86.4	NaN	70.3	63.9	NaN	NaN	NaN	72.0	163.3	55.9	NaN	NaN	74.0	79.6	130.0	76.1	99.8	NaN	64.2	NaN	73.7	212.6	171.2	83.8	NaN	164.0	136.6	62.4	45.6	NaN	NaN	NaN	200.4	133.9	81.7
2009	82.2	42.0	NaN	39.8	47.0	NaN	NaN	NaN	31.6	141.4	43.6	NaN	NaN	73.1	49.9	80.4	46.0	71.6	NaN	36.4	NaN	71.9	107.1	63.1	67.1	NaN	81.8	128.5	41.3	34.8	NaN	NaN	NaN	141.2	62.9	44.1
2010	81.8	60.2	NaN	67.5	72.8	NaN	NaN	NaN	42.0	206.2	45.8	NaN	NaN	108.4	58.6	76.6	55.1	65.4	NaN	42.5	NaN	114.1	191.4	93.0	73.5	NaN	81.4	NaN	NaN	47.5	NaN	NaN	NaN	127.6	75.7	64.8
2011	51.3	45.9	NaN	47.1	49.9	NaN	NaN	NaN	33.6	106.6	45.3	NaN	NaN	71.1	50.7	75.5	40.9	50.2	NaN	47.0	NaN	58.9	122.3	65.4	61.4	NaN	59.9	NaN	NaN	41.2	NaN	NaN	NaN	130.7	79.6	46.0
